label	file	group	cond
Ara3	counts.txt	At	
Ara5	counts.txt	At	
Ara6	counts.txt	At	
Ara1	counts.txt	At	
Ara2	counts.txt	At	
Bean1	counts.txt	Bean	
Bean3	counts.txt	Bean	
Bean4	counts.txt	Bean	
Bean5	counts.txt	Bean	
Bean6	counts.txt	Bean	
Carb1	counts.txt	Carb	
Carb2	counts.txt	Carb	
Carb3	counts.txt	Carb	
Carb4	counts.txt	Carb	
Carb6	counts.txt	Carb	
Ch1	counts.txt	Ch	
Ch3	counts.txt	Ch	
Ch4	counts.txt	Ch	
Ch5	counts.txt	Ch	
Ch6	counts.txt	Ch	
Maize1	counts.txt	Maize	
Maize3	counts.txt	Maize	
Maize4	counts.txt	Maize	
Maize5	counts.txt	Maize	
Maize7	counts.txt	Maize	
Nb2	counts.txt	Nb	
Nb4	counts.txt	Nb	
Nb5	counts.txt	Nb	
Nb7	counts.txt	Nb	
Nb8	counts.txt	Nb	
Pea1	counts.txt	Pea	
Pea2	counts.txt	Pea	
Pea3	counts.txt	Pea	
Pea4	counts.txt	Pea	
Pea6	counts.txt	Pea	
Pota2	counts.txt	Pota	
Pota3	counts.txt	Pota	
Pota4	counts.txt	Pota	
Pota5	counts.txt	Pota	
Pota7	counts.txt	Pota	
Sun1	counts.txt	Sun	
Sun2	counts.txt	Sun	
Sun3	counts.txt	Sun	
Sun4	counts.txt	Sun	
Sun6	counts.txt	Sun	
