dataset	description	secondary_description	full_name	Host	Biomart
aaegypti_eg_gene	Aedes	aegypti	Aedes_aegypti	metazoa.ensembl.org	metazoa_mart
acephalotes_eg_gene	Atta	cephalotes	Atta_cephalotes	metazoa.ensembl.org	metazoa_mart
adarlingi_eg_gene	Anopheles	darlingi	Anopheles_darlingi	metazoa.ensembl.org	metazoa_mart
agambiae_eg_gene	Anopheles	gambiae	Anopheles_gambiae	metazoa.ensembl.org	metazoa_mart
aglabripennis_eg_gene	Anoplophora	glabripennis	Anoplophora_glabripennis	metazoa.ensembl.org	metazoa_mart
amellifera_eg_gene	Apis	mellifera	Apis_mellifera	metazoa.ensembl.org	metazoa_mart
apisum_eg_gene	Acyrthosiphon	pisum	Acyrthosiphon_pisum	metazoa.ensembl.org	metazoa_mart
aqueenslandica_eg_gene	Amphimedon	queenslandica	Amphimedon_queenslandica	metazoa.ensembl.org	metazoa_mart
avaga_eg_gene	Adineta	vaga	Adineta_vaga	metazoa.ensembl.org	metazoa_mart
bantarctica_eg_gene	Belgica	antarctica	Belgica_antarctica	metazoa.ensembl.org	metazoa_mart
bimpatiens_eg_gene	Bombus	impatiens	Bombus_impatiens	metazoa.ensembl.org	metazoa_mart
bmalayi_eg_gene	Brugia	malayi	Brugia_malayi	metazoa.ensembl.org	metazoa_mart
bmori_eg_gene	Bombyx	mori	Bombyx_mori	metazoa.ensembl.org	metazoa_mart
bterrestris_eg_gene	Bombus	terrestris	Bombus_terrestris	metazoa.ensembl.org	metazoa_mart
cbrenneri_eg_gene	Caenorhabditis	brenneri	Caenorhabditis_brenneri	metazoa.ensembl.org	metazoa_mart
cbriggsae_eg_gene	Caenorhabditis	briggsae	Caenorhabditis_briggsae	metazoa.ensembl.org	metazoa_mart
celegans_eg_gene	Caenorhabditis	elegans	Caenorhabditis_elegans	metazoa.ensembl.org	metazoa_mart
cgigas_eg_gene	Crassostrea	gigas	Crassostrea_gigas	metazoa.ensembl.org	metazoa_mart
cjaponica_eg_gene	Caenorhabditis	japonica	Caenorhabditis_japonica	metazoa.ensembl.org	metazoa_mart
cquinquefasciatus_eg_gene	Culex	quinquefasciatus	Culex_quinquefasciatus	metazoa.ensembl.org	metazoa_mart
cremanei_eg_gene	Caenorhabditis	remanei	Caenorhabditis_remanei	metazoa.ensembl.org	metazoa_mart
cteleta_eg_gene	Capitella	teleta	Capitella_teleta	metazoa.ensembl.org	metazoa_mart
dananassae_eg_gene	Drosophila	ananassae	Drosophila_ananassae	metazoa.ensembl.org	metazoa_mart
derecta_eg_gene	Drosophila	erecta	Drosophila_erecta	metazoa.ensembl.org	metazoa_mart
dgrimshawi_eg_gene	Drosophila	grimshawi	Drosophila_grimshawi	metazoa.ensembl.org	metazoa_mart
dmagna_eg_gene	Daphnia	magna	Daphnia_magna	metazoa.ensembl.org	metazoa_mart
dmelanogaster_eg_gene	Drosophila	melanogaster	Drosophila_melanogaster	metazoa.ensembl.org	metazoa_mart
dmojavensis_eg_gene	Drosophila	mojavensis	Drosophila_mojavensis	metazoa.ensembl.org	metazoa_mart
dpersimilis_eg_gene	Drosophila	persimilis	Drosophila_persimilis	metazoa.ensembl.org	metazoa_mart
dplexippus_eg_gene	Danaus	plexippus	Danaus_plexippus	metazoa.ensembl.org	metazoa_mart
dponderosae_eg_gene	Dendroctonus	ponderosae	Dendroctonus_ponderosae	metazoa.ensembl.org	metazoa_mart
dpseudoobscura_eg_gene	Drosophila	pseudoobscura	Drosophila_pseudoobscura	metazoa.ensembl.org	metazoa_mart
dpulex_eg_gene	Daphnia	pulex	Daphnia_pulex	metazoa.ensembl.org	metazoa_mart
dsechellia_eg_gene	Drosophila	sechellia	Drosophila_sechellia	metazoa.ensembl.org	metazoa_mart
dsimulans_eg_gene	Drosophila	simulans	Drosophila_simulans	metazoa.ensembl.org	metazoa_mart
dvirilis_eg_gene	Drosophila	virilis	Drosophila_virilis	metazoa.ensembl.org	metazoa_mart
dwillistoni_eg_gene	Drosophila	willistoni	Drosophila_willistoni	metazoa.ensembl.org	metazoa_mart
dyakuba_eg_gene	Drosophila	yakuba	Drosophila_yakuba	metazoa.ensembl.org	metazoa_mart
hmelpomene_eg_gene	Heliconius	melpomene	Heliconius_melpomene	metazoa.ensembl.org	metazoa_mart
hrobusta_eg_gene	Helobdella	robusta	Helobdella_robusta	metazoa.ensembl.org	metazoa_mart
iscapularis_eg_gene	Ixodes	scapularis	Ixodes_scapularis	metazoa.ensembl.org	metazoa_mart
lanatina_eg_gene	Lingula	anatina	Lingula_anatina	metazoa.ensembl.org	metazoa_mart
lcuprina_eg_gene	Lucilia	cuprina	Lucilia_cuprina	metazoa.ensembl.org	metazoa_mart
lgigantea_eg_gene	Lottia	gigantea	Lottia_gigantea	metazoa.ensembl.org	metazoa_mart
lloa_eg_gene	Loa	loa	Loa_loa	metazoa.ensembl.org	metazoa_mart
lsalmonis_eg_gene	Lepeophtheirus	salmonis	Lepeophtheirus_salmonis	metazoa.ensembl.org	metazoa_mart
mcinxia_eg_gene	Melitaea	cinxia	Melitaea_cinxia	metazoa.ensembl.org	metazoa_mart
mdestructor_eg_gene	Mayetiola	destructor	Mayetiola_destructor	metazoa.ensembl.org	metazoa_mart
mleidyi_eg_gene	Mnemiopsis	leidyi	Mnemiopsis_leidyi	metazoa.ensembl.org	metazoa_mart
mscalaris_eg_gene	Megaselia	scalaris	Megaselia_scalaris	metazoa.ensembl.org	metazoa_mart
nvectensis_eg_gene	Nematostella	vectensis	Nematostella_vectensis	metazoa.ensembl.org	metazoa_mart
nvitripennis_eg_gene	Nasonia	vitripennis	Nasonia_vitripennis	metazoa.ensembl.org	metazoa_mart
obimaculoides_eg_gene	Octopus	bimaculoides	Octopus_bimaculoides	metazoa.ensembl.org	metazoa_mart
ovolvulus_eg_gene	Onchocerca	volvulus	Onchocerca_volvulus	metazoa.ensembl.org	metazoa_mart
phumanus_eg_gene	Pediculus	humanus	Pediculus_humanus	metazoa.ensembl.org	metazoa_mart
ppacificus_eg_gene	Pristionchus	pacificus	Pristionchus_pacificus	metazoa.ensembl.org	metazoa_mart
rprolixus_eg_gene	Rhodnius	prolixus	Rhodnius_prolixus	metazoa.ensembl.org	metazoa_mart
sinvicta_eg_gene	Solenopsis	invicta	Solenopsis_invicta	metazoa.ensembl.org	metazoa_mart
smansoni_eg_gene	Schistosoma	mansoni	Schistosoma_mansoni	metazoa.ensembl.org	metazoa_mart
smaritima_eg_gene	Strigamia	maritima	Strigamia_maritima	metazoa.ensembl.org	metazoa_mart
smimosarum_eg_gene	Stegodyphus	mimosarum	Stegodyphus_mimosarum	metazoa.ensembl.org	metazoa_mart
spurpuratus_eg_gene	Strongylocentrotus	purpuratus	Strongylocentrotus_purpuratus	metazoa.ensembl.org	metazoa_mart
sratti_eg_gene	Strongyloides	ratti	Strongyloides_ratti	metazoa.ensembl.org	metazoa_mart
sscabiei_eg_gene	Sarcoptes	scabiei	Sarcoptes_scabiei	metazoa.ensembl.org	metazoa_mart
tadhaerens_eg_gene	Trichoplax	adhaerens	Trichoplax_adhaerens	metazoa.ensembl.org	metazoa_mart
tcastaneum_eg_gene	Tribolium	castaneum	Tribolium_castaneum	metazoa.ensembl.org	metazoa_mart
tdalmanni_eg_gene	Teleopsis	dalmanni	Teleopsis_dalmanni	metazoa.ensembl.org	metazoa_mart
tkitauei_eg_gene	Thelohanellus	kitauei	Thelohanellus_kitauei	metazoa.ensembl.org	metazoa_mart
tspiralis_eg_gene	Trichinella	spiralis	Trichinella_spiralis	metazoa.ensembl.org	metazoa_mart
turticae_eg_gene	Tetranychus	urticae	Tetranychus_urticae	metazoa.ensembl.org	metazoa_mart
znevadensis_eg_gene	Zootermopsis	nevadensis	Zootermopsis_nevadensis	metazoa.ensembl.org	metazoa_mart
aclavatus_eg_gene	Aspergillus	clavatus	Aspergillus_clavatus	fungi.ensembl.org	fungi_mart
aflavus_eg_gene	Aspergillus	flavus	Aspergillus_flavus	fungi.ensembl.org	fungi_mart
afumigatus_eg_gene	Aspergillus	fumigatus	Aspergillus_fumigatus	fungi.ensembl.org	fungi_mart
afumigatusa1163_eg_gene	Aspergillus	fumigatus	Aspergillus_fumigatus	fungi.ensembl.org	fungi_mart
agossypii_eg_gene	Ashbya	gossypii	Ashbya_gossypii	fungi.ensembl.org	fungi_mart
anidulans_eg_gene	Aspergillus	nidulans	Aspergillus_nidulans	fungi.ensembl.org	fungi_mart
aniger_eg_gene	Aspergillus	niger	Aspergillus_niger	fungi.ensembl.org	fungi_mart
aoryzae_eg_gene	Aspergillus	oryzae	Aspergillus_oryzae	fungi.ensembl.org	fungi_mart
aterreus_eg_gene	Aspergillus	terreus	Aspergillus_terreus	fungi.ensembl.org	fungi_mart
bbassiana_eg_gene	Beauveria	bassiana	Beauveria_bassiana	fungi.ensembl.org	fungi_mart
bcinerea_eg_gene	Botrytis	cinerea	Botrytis_cinerea	fungi.ensembl.org	fungi_mart
bgraminis_eg_gene	Blumeria	graminis	Blumeria_graminis	fungi.ensembl.org	fungi_mart
cgloeosporioides_eg_gene	Colletotrichum	gloeosporioides	Colletotrichum_gloeosporioides	fungi.ensembl.org	fungi_mart
cgraminicola_eg_gene	Colletotrichum	graminicola	Colletotrichum_graminicola	fungi.ensembl.org	fungi_mart
chigginsianum_eg_gene	Colletotrichum	higginsianum	Colletotrichum_higginsianum	fungi.ensembl.org	fungi_mart
cneoformans_eg_gene	Cryptococcus	neoformans	Cryptococcus_neoformans	fungi.ensembl.org	fungi_mart
corbiculare_eg_gene	Colletotrichum	orbiculare	Colletotrichum_orbiculare	fungi.ensembl.org	fungi_mart
dseptosporum_eg_gene	Dothistroma	septosporum	Dothistroma_septosporum	fungi.ensembl.org	fungi_mart
fculmorum_eg_gene	Fusarium	culmorum	Fusarium_culmorum	fungi.ensembl.org	fungi_mart
ffujikuroi_eg_gene	Fusarium	fujikuroi	Fusarium_fujikuroi	fungi.ensembl.org	fungi_mart
fgraminearum_eg_gene	Fusarium	graminearum	Fusarium_graminearum	fungi.ensembl.org	fungi_mart
foxysporum_eg_gene	Fusarium	oxysporum	Fusarium_oxysporum	fungi.ensembl.org	fungi_mart
fpseudograminearum_eg_gene	Fusarium	pseudograminearum	Fusarium_pseudograminearum	fungi.ensembl.org	fungi_mart
fsolani_eg_gene	Fusarium	solani	Fusarium_solani	fungi.ensembl.org	fungi_mart
